Name,LowerBound,UpperBound,LatLongVertices,XYLambertVertices
Turbulent Zone 62,0,39000,40.1238209985041:-117.978515625 39.1600806512044:-119.69140625 39.0577828398282:-123.439453125 39.8126181702791:-122.203125,-1089.39860190762:1011.71916339375 -1180.58623441876:967.084075155273 -1358.655062236:995.965248313549 -1291.0635341065:1029.76704004905
Turbulent Zone 63,12800,27300,35.3661545906361:-118.6376953125 33.7199840307856:-116.1318359375 33.7747944834163:-118.15966796875 34.4116531655218:-120.1875,-1171.2099765357:728.273917083716 -1063.68221157177:608.708297602619 -1164.23727659428:628.657041733245 -1257.8932269228:684.897226106355
Turbulent Zone 64,29199,36000,46.4790590596062:-115.4736328125 48.1918964956772:-112.0888671875 46.7061449970238:-113.32568359375 45.6718230099717:-114.779052734375 45.2402661449658:-117.287109375,-910.909209249773:1391.52830734739 -747.132273710371:1481.61261821144 -813.973783566512:1392.45463565409 -887.817412600403:1335.29929479474 -1003.98354729944:1325.35397858787
Turbulent Zone 65,8000,15000,42.0121140100502:-112.3095703125 41.701818769764:-110.462890625 40.9759445029994:-112.4970703125,-807.286678140108:1089.01169377333 -723.777890794348:1059.21315996034 -824.352004423683:1025.64862200283
Turbulent Zone 66,8000,15000,43.8142678284924:-96.005859375 43.056716958115:-94.51123046875 42.6462700231216:-95.8291015625 42.9043242992347:-97.1601562499999,-46.1925578150497:1151.62485774337 22.6195468253078:1103.39862922539 -38.5282440070007:1077.51218762108 -100.118604311649:1094.50801552594
Turbulent Zone 67,15000,50000,43.1125656400965:-85.458984375 41.6361646497402:-81.810546875 39.9562663027996:-83.8603515624999 40.8430988380165:-87.9316406249999 41.9225829552888:-88.3212890624999,440.932201218882:1122.41750744727 618.12980010442:1043.86029106546 530.921072698965:930.565949137904 334.224753148627:972.783858998113 312.481837723204:1039.47041188647
Turbulent Zone 68,20000,39000,40.9255006761335:-87.83203125 40.4095087276515:-85.5458984375 38.475295043055:-88.2109375 37.0422290655832:-90.7958984375 34.5248727072878:-95.7687988281249 37.6796758484511:-92.1503906249999 39.3893709625256:-90.1230468749999,338.658017341433:978.177879681921 448.760933780322:952.640066920645 328.397030360331:825.108344429687 206.14910923554:731.76982011172 -38.5771748006368:574.714984215122 138.919143013748:769.249812715153 233.916869081902:877.71132991934
Turbulent Zone 69,17400,41000,35.3303105602952:-95.0390625 34.3753904892468:-93.2802734375 32.4682769234192:-97.3076171874999 33.3536874849461:-98.7421874999999,-1.94595607812743:623.723611022011 86.4069109213084:566.05142851851 -117.913564872181:450.71403993173 -189.719858785574:506.014504334783
Turbulent Zone 70,38120,43000,36.1151937982237:-76.93359375 35.7065856026289:-75.7900390625 35.1695276232261:-76.9453124999999,890.966997613024:731.167232594873 950.52677817243:714.1690673619 898.067980222107:673.795844384532
